subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx,continent,older_children,click
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,11,2,320.5818297613183,0.7796284573482968,-83.5799224126855,Asia,1,83.5799224126855
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,12,5,887.7442861687263,-1.4568168024711983,147.26401461252374,Asia,1,147.26401461252374
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,13,3,570.2537960635049,-0.2048825575085121,-324.25181242092674,Asia,1,324.25181242092674
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,14,9,1517.3599773471174,0.4560551064531056,135.65332831694514,Asia,1,135.65332831694514
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,15,8,1342.9634012536635,-0.2316286277692218,241.04941612914877,Asia,1,241.04941612914877
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,1,1,132.29313762012382,1.5220918349211965,1001.7160176533137,Asia,0,1001.7160176533137
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,2,3,454.89677908445816,0.2499953190066167,547.1113385913231,Asia,0,547.1113385913231
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,3,6,1084.4292454063225,-1.2510851887847596,-115.42143290632248,Asia,0,115.42143290632248
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,4,2,370.8332077763663,0.5814763143573248,589.1745436884775,Asia,0,589.1745436884775
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,5,7,1296.1462776602234,-0.41623875658868204,-339.13852619537965,Asia,0,339.13852619537965
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,6,5,870.7029732702267,-1.3896191891200542,101.30490026492951,Asia,0,101.30490026492951
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,7,10,1783.037270091607,1.5036786141228027,-772.0290913806696,Asia,0,772.0290913806696
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,8,4,658.3263549026094,-0.5521718650264281,261.1810913864531,Asia,0,261.1810913864531
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,9,8,1436.9163969684748,0.1388485248321755,-632.9099272419123,Asia,0,632.9099272419123
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,10,10,1783.037270091607,1.5036786141228027,-881.5300069080133,Asia,0,881.5300069080133
TUR00025,Malatya (Turkey),4,-0.5280561948224279,m,1,1,3,1,0,11,1,132.29313762012382,1.5220918349211965,911.7152852314388,Asia,0,911.7152852314388
